id,Name,Portion Size Options,Section,Selected Portion Size,Number of Portions,Frequency,Frequency Count
1.8,Breakfast cereals (Bran flakes)/ Oats,"[""A1 (Breakfast oats/Cereals)"", ""A2 (Breakfast oats/Cereals)"", ""A3 (Breakfast oats/Cereals)"", ""A4 (Breakfast oats/Cereals)"", ""A5 (Breakfast oats/Cereals)"", ""A6 (Breakfast oats/Cereals)"", ""A7 (Breakfast oats/Cereals)"", ""A8 (Breakfast oats/Cereals)"", ""A9 (Breakfast oats/Cereals)"", ""A10 (Breakfast oats/Cereals)"", ""A11 (Breakfast oats/Cereals)"", ""A12 (Breakfast oats/Cereals)"", ""A13 (Breakfast oats/Cereals)"", ""A14 (Breakfast oats/Cereals)"", ""A15 (Breakfast oats/Cereals)"", ""A16 (Breakfast oats/Cereals)"", """"]",1,,0.0,,0.0
1.9,Breakfast cereals ( sugary),"[""A1 (Breakfast Cereals, Sugary)"", ""A2 (Breakfast Cereals, Sugary)"", ""A3 (Breakfast Cereals, Sugary)"", ""A4 (Breakfast Cereals, Sugary)"", ""A5 (Breakfast Cereals, Sugary)"", ""A6 (Breakfast Cereals, Sugary)"", ""A7 (Breakfast Cereals, Sugary)"", ""A8 (Breakfast Cereals, Sugary)"", ""A9 (Breakfast Cereals, Sugary)"", ""A10 (Breakfast Cereals, Sugary)"", ""A11 (Breakfast Cereals, Sugary)"", ""A12 (Breakfast Cereals, Sugary)"", ""A13 (Breakfast Cereals, Sugary)"", ""A14 (Breakfast Cereals, Sugary)"", ""A15 (Breakfast Cereals, Sugary)"", ""A16 (Breakfast Cereals, Sugary)"", """"]",1,,0.0,,0.0
1.10,"Fatayer (zaatar, cheese, spinach, meat)-baked","[""1 Small Fatayer (B3)"", ""1 Medium Fatayer (B4)"", ""1 Large Fatayer (B5)"", """"]",1,,0.0,,0.0
1.11,"Sambosek, samosa, spring roll, cheese roll-fried ","[""1 small sambosek/Springroll, mozarella stick"", """"]",1,,0.0,,0.0
1.12,"Pizza (restaurants, homemade)","[""1 slice, small pizza, thin crust"", ""1 slice, small pizza, normal Crust"", ""1 slice, medium pizza, thin crust"", ""1 slice, medium pizza, normal Crust"", ""1 slice, large pizza, thin crust"", ""1 slice, large pizza, normal Crust"", """"]",1,,0.0,,0.0
1.12.1,"Pizza (Frozen, ready to eat)","[""1 slice, small pizza, thin crust"", ""1 slice, small pizza, normal Crust"", ""1 slice, medium pizza, thin crust"", ""1 slice, medium pizza, normal Crust"", ""1 slice, large pizza, thin crust"", ""1 slice, large pizza, normal Crust"", """"]",1,,0.0,,0.0
2.1,"Vegetables, canned (mixed)","[""A1 (Vegetables, canned)"", ""A2 (Vegetables, canned)"", ""A3 (Vegetables, canned)"", ""A4 (Vegetables, canned)"", ""A5 (Vegetables, canned)"", ""A6 (Vegetables, canned)"", ""A7 (Vegetables, canned)"", ""A8 (Vegetables, canned)"", ""A9 (Vegetables, canned)"", ""A10 (Vegetables, canned)"", ""A11 (Vegetables, canned)"", ""A12 (Vegetables, canned)"", ""A13 (Vegetables, canned)"", ""A14 (Vegetables, canned)"", ""A15 (Vegetables, canned)"", ""A16 (Vegetables, canned)"", """"]",2,,0.0,,0.0
2.2,"Vegetables, raw, cooked, frozen","[""A1 (Vegetables, raw, cooked, frozen)"", ""A2 (Vegetables, raw, cooked, frozen)"", ""A3 (Vegetables, raw, cooked, frozen)"", ""A4 (Vegetables, raw, cooked, frozen)"", ""A5 (Vegetables, raw, cooked, frozen)"", ""A6 (Vegetables, raw, cooked, frozen)"", ""A7 (Vegetables, raw, cooked, frozen)"", ""A8 (Vegetables, raw, cooked, frozen)"", ""A9 (Vegetables, raw, cooked, frozen)"", ""A10 (Vegetables, raw, cooked, frozen)"", ""A11 (Vegetables, raw, cooked, frozen)"", ""A12 (Vegetables, raw, cooked, frozen)"", ""A13 (Vegetables, raw, cooked, frozen)"", ""A14 (Vegetables, raw, cooked, frozen)"", ""A15 (Vegetables, raw, cooked, frozen)"", ""A16 (Vegetables, raw, cooked, frozen)"", """"]",2,,0.0,,0.0
2.3,"Salad, green ","[""A1 (Vegetables, green)"", ""A2 (Vegetables, green)"", ""A3 (Vegetables, green)"", ""A4 (Vegetables, green)"", ""A5 (Vegetables, green )"", ""A6 (Vegetables, green)"", ""A7 (Vegetables, green)"", ""A8 (Vegetables, green)"", ""A9 (Vegetables, green)"", ""A10 (Vegetables, green)"", ""A11 (Vegetables, green)"", ""A12 (Vegetables, green)"", ""A13 (Vegetables, green)"", ""A14 (Vegetables,green)"", ""A15 (Vegetables, green)"", ""A16 (Vegetables, green)"", """"]",2,,0.0,,0.0
3.1,French Fries,"[""A1 (French Fries)"", ""A2 (French Fries)"", ""A3 (French Fries)"", ""A4 (French Fries)"", ""A5 (French Fries)"", ""A6 (French Fries)"", ""A7 (French Fries)"", ""A8 (French Fries)"", ""A9 (French Fries)"", ""A10 (French Fries)"", ""A11 (French Fries)"", ""A12 (French Fries)"", ""A13 (French Fries)"", ""A14 (French Fries)"", ""A15 (French Fries)"", ""A16 (French Fries)"", """"]",3,,0.0,,0.0
3.2,Potato ,"[""1 Medium Potato "", """"]",3,,0.0,,0.0
3.3,Potato chips (bag chips)- all kind of chips ,"[""Potato chips / Tortilla, Extra small/ 1cup"", ""Potato chips / Tortilla, Small"", ""Potato chips / Tortilla, Medium"", ""Potato chips / Tortilla, Large"", ""Potato chips / Tortilla, Extra Large"", """"]",3,,0.0,,0.0
4.1,Fresh fruits or frozen,"[""1 Medium fruit, fresh/ frozen"", ""4 pieces medium strawberries"", ""10 pieces grapes"", """"]",4,4 pieces medium strawberries,5.0,Per week,5.0
4.2,"Dried fruits (dates, figs, apricot, prunes)","[""3 Pieces of Dates"", ""A1 (dried fruits)"", ""A2 (dried fruits)"", ""A3 (dried fruits)"", ""A4 (dried fruits)"", ""A5 (dried fruits)"", ""A6 (dried fruits)"", ""A7 (dried fruits)"", ""A8 (dried fruits)"", ""A9 (dried fruits)"", ""A10 (dried fruits)"", ""A11 (dried fruits)"", ""A12 (dried fruits)"", ""A13 (dried fruits)"", ""A14 (dried fruits)"", ""A15 (dried fruits)"", ""A16 (dried fruits)"", ""A17 (dried fruits)"", ""A18 (dried fruits)"", """"]",4,A3 (dried fruits),3.0,Per week,1.0
4.3,Fresh fruit juice ,"[""A4 (Fresh fruit juice)"", ""A5 (Fresh fruit juice)"", ""A6 (Fresh fruit juice)"", ""A7 (Fresh fruit juice)"", ""A8 (Fresh fruit juice)"", ""A9 (Fresh fruit juice)"", ""A10 (Fresh fruit juice)"", """"]",4,A6 (Fresh fruit juice),12.0,Per Month,3.0
4.4,Fruit based dessert (cocktails),"[""A1 (Fruit based dessert/ cocktails)"", ""A2 (Fruit based dessert/ cocktails)"", ""A3 (Fruit based dessert/ cocktails)"", ""A4 (Fruit based dessert/ cocktails)"", ""A5  (Fruit based dessert/ cocktails)"", ""A6  (Fruit based dessert/ cocktails)"", ""A7  (Fruit based dessert/ cocktails)"", ""A8  (Fruit based dessert/ cocktails)"", ""A9  (Fruit based dessert/ cocktails)"", ""A10  (Fruit based dessert/ cocktails)"", ""A11 (Fruit based dessert/ cocktails)"", ""A15 (Fruit based dessert/ cocktails)"", """"]",4,A1 (Fruit based dessert/ cocktails),3.0,Per day,5.0
5.1,Full fat milk,"[""A1 (Milk, Full fat)"", ""A2 (Milk, Full fat)"", ""A3 (Milk, Full fat)"", ""A4 (Milk, Full fat)"", ""A5 (Milk, Full fat)"", ""A6 (Milk, Full fat)"", ""A7 (Milk, Full fat)"", ""A8 (Milk, Full fat)"", ""A9 (Milk, Full fat)"", ""A10 (Milk, Full fat)"", ""A11 (Milk, Full fat)"", ""A12 (Milk, Full fat)"", ""A13 (Milk, Full fat)"", ""A14 (Milk, Full fat)"", ""A15 (Milk, Full fat)"", ""A16 (Milk, Full fat)"", """"]",5,,0.0,,0.0
5.2,Low fat milk,"[""A1 (Milk, low fat)"", ""A2 (Milk, low fat)"", ""A3 (Milk, low fat)"", ""A4 (Milk, low fat)"", ""A5 (Milk, low fat)"", ""A6 (Milk, low fat)"", ""A7 (Milk, low fat)"", ""A8 (Milk, low fat)"", ""A9 (Milk, low fat)"", ""A10 (Milk, low fat)"", ""A11 (Milk, low fat)"", ""A12 (Milk, low fat)"", ""A13 (Milk, low fat)"", ""A14 (Milk, low fat)"", ""A15 (Milk, low fat)"", ""A16 (Milk, low fat)"", """"]",5,,0.0,,0.0
5.3,"Non-dairy alternative (soya, oat, almond milk)","[""A1 (non-dairy alternative)"", ""A2 (non-dairy alternative)"", ""A3 (non-dairy alternative)"", ""A4 (non-dairy alternative)"", ""A5(non-dairy alternative)"", ""A6 (non-dairy alternative)"", ""A7 (non-dairy alternative)"", ""A8 (non-dairy alternative)"", ""A9 (non-dairy alternative)"", ""A10 (non-dairy alternative)"", ""A11 (non-dairy alternative)"", ""A12 (non-dairy alternative)"", ""A13 (non-dairy alternative)"", ""A14 (non-dairy alternative)"", ""A15 (non-dairy alternative)"", ""A16 (non-dairy alternative)"", """"]",5,,0.0,,0.0
5.4, Yogurt (plain) (zabadi/robe),"[""I yoghurt small container"", ""A1 (Yogurt,Plain)"", ""A2 (Yogurt,Plain)"", ""A3 (Yogurt,Plain)"", ""A4 (Yogurt,Plain)"", ""A5 (Yogurt,Plain)"", ""A6 (Yogurt,Plain)"", ""A7 (Yogurt,Plain)"", ""A8 (Yogurt,Plain)"", ""A9 (Yogurt,Plain)"", ""A10 (Yogurt,Plain)"", ""A11 (Yogurt,Plain)"", ""A12 (Yogurt,Plain)"", ""A13 (Yogurt,Plain)"", ""A14 (Yogurt,Plain)"", ""A15 (Yogurt,Plain)"", """"]",5,,0.0,,0.0
5.6,Ayran /Laban (drinkable) ,"[""1 Small bottle ayran/laban/Shaninah"", ""A1 (Ayran/Laban/Shaninah)"", ""A2 (Ayran/Laban/Shaninah)"", ""A3 (Ayran/Laban/Shaninah)"", ""A4 (Ayran/Laban/Shaninah)"", ""A5 (Ayran/Laban/Shaninah)"", ""A6 (Ayran/Laban/Shaninah)"", ""A7 (Ayran/Laban/Shaninah)"", ""A8 (Ayran/Laban/Shaninah)"", ""A9 (Ayran/Laban/Shaninah)"", ""A10 (Ayran/Laban/Shaninah)"", ""A11 (Ayran/Laban/Shaninah)"", ""A12 (Ayran/Laban/Shaninah)"", ""A13 (Ayran/Laban/Shaninah)"", ""A14 (Ayran/Laban/Shaninah)"", ""A15 (Ayran/Laban/Shaninah)"", ""A16 (Ayran/Laban/Shaninah)"", """"]",5,,0.0,,0.0
5.7,Yogurt (flavored),"[""1 small container (yogurt, flavored)"", ""A1 (yogurt, flavored)"", ""A2 (yogurt, flavored)"", ""A3 (yogurt, flavored)"", ""A4 (yogurt, flavored)"", ""A5 (yogurt, flavored)"", ""A6 (yogurt, flavored)"", ""A7 (yogurt, flavored)"", ""A8 (yogurt, flavored)"", ""A9 (yogurt, flavored)"", ""A10 (yogurt, flavored)"", ""A11 (yogurt, flavored)"", ""A12 (yogurt, flavored)"", ""A13 (yogurt, flavored)"", ""A14 (yogurt, flavored)"", ""A15 (yogurt, flavored)"", """"]",5,,0.0,,0.0
5.8,Labneh,"[""A1 (Labaneh)"", ""A2 (Labaneh)"", ""A3 (Labaneh)"", ""A4 (Labaneh)"", ""A5 (Labaneh)"", ""A6 (Labaneh)"", ""A7 (Labaneh)"", ""A8 (Labaneh)"", ""A9 (Labaneh)"", ""A10 (Labaneh)"", ""A11 (Labaneh)"", ""A12 (Labaneh)"", ""A13 (Labaneh)"", ""A14 (Labaneh)"", ""A15 (Labaneh)"", ""A16 (Labaneh)"", """"]",5,,0.0,,0.0
5.9,White cheese ,"[""1 square (white cheese)"", """"]",5,,0.0,,0.0
5.10,Cheese (yellow/hard and processed),"[""1square/triangular (yellow cheese/hard and processed)"", """"]",5,,0.0,,0.0
6.1,Beef,"[""B1,5 /6 (2 small cube beef)"", ""B2, 5 / 6 (beef, cooked) "", ""B3, 5/6 (beef, cooked) "", ""B4, 5/6(beef, cooked) "", ""B5, 5/6 (beef, cooked) "", ""B1, 3/4 (beef, cooked) "", ""B2, 3/4 (beef, cooked) "", ""B3, 3/4 (beef, cooked) "", ""B4, 3/4 (beef, cooked) "", ""B5, 3/4 (beef, cooked) "", """"]",6,,0.0,,0.0
6.2,Lamb ,"[""B1,5 /6 (lamb, cooked)"", ""B2, 5 / 6 (lamb, cooked)"", ""B3, 5/6 (lamb, cooked)"", ""B4, 5/6 (lamb, cooked)"", ""B5, 5/6 (lamb, cooked) "", ""B1, 3/4 (lamb, cooked)"", ""B2, 3/4 (lamb, cooked)"", ""B3, 3/4 (lamb, cooked)"", ""B4, 3/4 (lamb, cooked)"", ""B5, 3/4 (lamb, cooked)"", """"]",6,,0.0,,0.0
6.3,Poultry,"[""Chicken Breast "", ""Chicken Thigh"", ""B1,5 /6 (chicken, cooked)"", ""B2, 5 / 6 (chicken, cooked)"", ""B3, 5/6 (chicken, cooked)"", ""B4, 5/6 (chicken, cooked)"", ""B5, 5/6 (chicken, cooked) "", ""B1, 3/4 (chicken, cooked)"", ""B2, 3/4 (chicken, cooked)"", ""B3, 3/4 (chicken, cooked)"", ""B4, 3/4 (chicken, cooked)"", ""B5, 3/4 (chicken, cooked)"", """"]",6,,0.0,,0.0
6.4,Fried Chicken,"[""1 piece nugget "", ""chicken strip (Medium, side B2)"", ""Fried chicken (breast)"", ""Fried chicken (thigh)"", """"]",6,,0.0,,0.0
6.5,Egg ,"[""1 egg"", """"]",6,,0.0,,0.0
6.6,Burger,"[""1 burger (small size, slider)"", ""1 burger (Medium size)"", """"]",6,,0.0,,0.0
6.7,"Offal/Organ meat (liver, heart, brain, etc.)","[""""]",6,,0.0,,0.0
6.8,Processed meat (hot dog/ salami/ mortadella),"[""1 slice turkey/mortadella (regular slice) "", ""1 sausage (small size)"", ""1 sausage (medium size, hotdog) "", """"]",6,,0.0,,0.0
7.1,Fish Grilled/Boiled/Canned/Raw ,"[""B1,5 /6 (Grilled/boiled/canned, cooked)"", ""B2, 5 / 6 (Grilled/boiled/canned, cooked)"", ""B3, 5/6 (Grilled/boiled/canned, cooked)"", ""B4, 5/6 (Grilled/boiled/canned, cooked)"", ""B5, 5/6 (Grilled/boiled/canned, cooked)"", ""B1, 3/4 (Grilled/boiled/canned, cooked)"", ""B2, 3/4 (Grilled/boiled/canned, cooked)"", ""B3, 3/4 (Grilled/boiled/canned, cooked)"", ""B4, 3/4 (Grilled/boiled/canned, cooked)"", ""B5, 3/4 (Grilled/boiled/canned, cooked)"", ""Canned Tuna/ Sardine "", """"]",7,,0.0,,0.0
7.2,Fish Fried ,"[""B1,5 /6 (Fried fish, cooked)"", ""B2, 5 / 6 (Fried fish, cooked)"", ""B3, 5/6 (Fried Fish, cooked)"", ""B4, 5/6 (Fried Fish, cooked)"", ""B5, 5/6 (Fried Fish, cooked)"", ""B1,3/ 4 (Fried fish, cooked)"", ""B2, 3/ 4 (Fried fish, cooked)"", ""B3, 3/ 4 (Fried Fish, cooked)"", ""B4, 3/ 4 (Fried Fish, cooked)"", ""B5, 3/ 4 (Fried Fish, cooked)"", """"]",7,,0.0,,0.0
7.3.1,"Seafood-Grilled/Boiled/Canned /Raw  "" Shrimp""","["" Seafood, fresh, Shrimp: 1 medium"", """"]",7,,0.0,,0.0
7.3.2,"Seafood-Grilled/Boiled/Canned /Raw  "" Calamari""","[""Seafood, fresh, Calamari: 1 medium"", """"]",7,,0.0,,0.0
7.3.3,"Seafood-Grilled/Boiled/Canned /Raw  "" Crab""","[""Seafood, fresh, Crab: 1 medium"", """"]",7,,0.0,,0.0
7.4.1,"Seafood-Fried ""Shrimp""","["" Seafood, fresh, Shrimp: 1 medium"", """"]",7,,0.0,,0.0
7.4.2,"Seafood-Fried ""Calamari""","[""Seafood, fresh, Calamari: 1 medium"", """"]",7,,0.0,,0.0
7.4.3,"Seafood-Fried ""Crab""","[""Seafood, fresh, Crab: 1 medium"", """"]",7,,0.0,,0.0
8.1,"Beans, Chickpeas, Fava Beans, Lentils ","[""A1 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A2 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A3 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A4 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A5 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A6 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A7 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A8 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A9 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A10 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A11 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A12 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A13 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A14 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A15 (Beans, Chickpeas, Fava Beans, Lentils)"", ""A16 (Beans, Chickpeas, Fava Beans, Lentils)"", """"]",8,,0.0,,0.0
8.2,Salted roasted/Nuts/ Seeds,"[""A1 (Salted roasted/Nuts/ Seeds)"", ""A2  (Salted roasted/Nuts/ Seeds)"", ""A3 (Salted roasted/Nuts/ Seeds)"", ""A4 (Salted roasted/Nuts/ Seeds)"", ""A5 (Salted roasted/Nuts/ Seeds)"", ""A6 (Salted roasted/Nuts/ Seeds)"", ""A7 (Salted roasted/Nuts/ Seeds)"", ""A8 (Salted roasted/Nuts/ Seeds)"", ""A9 (Salted roasted/Nuts/ Seeds)"", ""A10 (Salted roasted/Nuts/ Seeds)"", ""A11 (Salted roasted/Nuts/ Seeds)"", ""A12 (Salted roasted/Nuts/ Seeds)"", ""A13 (Salted roasted/Nuts/ Seeds)"", ""A14 (Salted roasted/Nuts/ Seeds)"", ""A15 (Salted roasted/Nuts/ Seeds)"", ""A16 (Salted roasted/Nuts/ Seeds)"", """"]",8,,0.0,,0.0
8.3,Unsalted raw Nuts/ Seeds,"[""A1 (Unsalted raw Nuts/ Seeds)"", ""A2 (Unsalted raw Nuts/ Seeds)"", ""A3 (Unsalted raw Nuts/ Seeds)"", ""A4 (Unsalted raw Nuts/ Seeds)"", ""A5 (Unsalted raw Nuts/ Seeds)"", ""A6 (Unsalted raw Nuts/ Seeds)"", ""A7 (Unsalted raw Nuts/ Seeds)"", ""A8 (Unsalted raw Nuts/ Seeds)"", ""A9 (Unsalted raw Nuts/ Seeds)"", ""A10 (Unsalted raw Nuts/ Seeds)"", ""A11 (Unsalted raw Nuts/ Seeds)"", ""A12 (Unsalted raw Nuts/ Seeds)"", ""A13 (Unsalted raw Nuts/ Seeds)"", ""A14 (Unsalted raw Nuts/ Seeds)"", ""A15 (Unsalted raw Nuts/ Seeds)"", ""A16 (Unsalted raw Nuts/ Seeds)"", """"]",8,,0.0,,0.0
8.4,"Nut butters (peanut butter, almond butter)","[""A1 (Nut butters)"", ""A2 (Nut butters)"", ""A3 (Nut butters)"", ""A4 (Nut butters)"", """"]",8,,0.0,,0.0
8.5,Falafel (fried),"[""1 falafel piece"", """"]",8,,0.0,,0.0
9.1,Al Harees/ Madhrooba,"[""A1 (Al Harees/ Madhrooba)"", ""A2 (Al Harees/ Madhrooba)"", ""A3 (Al Harees/ Madhrooba)"", ""A4 (Al Harees/ Madhrooba)"", ""A5 (Al Harees/ Madhrooba)"", ""A6 (Al Harees/ Madhrooba)"", ""A7 (Al Harees/ Madhrooba)"", ""A8 (Al Harees/ Madhrooba)"", ""A9 (Al Harees/ Madhrooba)"", ""A10 (Al Harees/ Madhrooba)"", ""A11 (Al Harees/ Madhrooba)"", ""A12 (Al Harees/ Madhrooba)"", ""A13 (Al Harees/ Madhrooba)"", ""A14 (Al Harees/ Madhrooba)"", ""A15 (Al Harees/ Madhrooba)"", ""A16 (Al Harees/ Madhrooba)"", """"]",9,,0.0,,0.0
9.2,Thareed,"[""A1 (thareed)"", ""A2 (thareed)"", ""A3 (thareed)"", ""A4 (thareed)"", ""A5 (thareed)"", ""A6 (thareed)"", ""A7 (thareed)"", ""A8 (thareed)"", ""A9 (thareed)"", ""A10 (thareed)"", ""A11 (thareed)"", ""A12 (thareed)"", ""A13 (thareed)"", ""A14 (thareed)"", ""A15 (thareed)"", ""A16 (thareed)"", """"]",9,,0.0,,0.0
9.3,Balaleet,"[""A1 (Balaleet)"", ""A2 (Balaleet)"", ""A3 (Balaleet)"", ""A4 (Balaleet)"", ""A5 (Balaleet)"", ""A6 (Balaleet)"", ""A7 (Balaleet)"", ""A8 (Balaleet)"", ""A9 (Balaleet)"", ""A10 (Balaleet)"", ""A11 (Balaleet)"", ""A12 (Balaleet)"", ""A13 (Balaleet)"", ""A14 (Balaleet)"", ""A15 (Balaleet)"", ""A16 (Balaleet)"", """"]",9,,0.0,,0.0
9.4,Machboos/ Biryani/ ,"[""A1 (Machboos/ biryani)"", ""A2 (Machboos/ biryani)"", ""A3 (Machboos/ biryani)"", ""A4 (Machboos/ biryani)"", ""A5 (Machboos/ biryani)"", ""A6 (Machboos/ biryani)"", ""A7 (Machboos/ biryani)"", ""A8 (Machboos/ biryani)"", ""A9 (Machboos/ biryani)"", ""A10 (Machboos/ biryani)"", ""A11 (Machboos/ biryani)"", ""A12 (Machboos/ biryani)"", ""A13 (Machboos/ biryani)"", ""A14 (Machboos/ biryani)"", ""A15 (Machboos/ biryani)"", ""A16 (Machboos/ biryani)"", """"]",9,,0.0,,0.0
9.5,Rice Muhammar or Baranyoosh**,"[""A1 (Rice Muhammar/ Baranyoosh)"", ""A2 (Rice Muhammar/ Baranyoosh)"", ""A3 (Rice Muhammar/ Baranyoosh)"", ""A4 (Rice Muhammar/ Baranyoosh)"", ""A5 (Rice Muhammar/ Baranyoosh)"", ""A6 (Rice Muhammar/ Baranyoosh)"", ""A7 (Rice Muhammar/ Baranyoosh)"", ""A8 (Rice Muhammar/ Baranyoosh)"", ""A9 (Rice Muhammar/ Baranyoosh)"", ""A10 (Rice Muhammar/ Baranyoosh)"", ""A11 (Rice Muhammar/ Baranyoosh)"", ""A12 (Rice Muhammar/ Baranyoosh)"", ""A13 (Rice Muhammar/ Baranyoosh)"", ""A14 (Rice Muhammar/ Baranyoosh)"", ""A15 (Rice Muhammar/ Baranyoosh)"", ""A16 (Rice Muhammar/ Baranyoosh)"", """"]",9,,0.0,,0.0
9.6,Saloona/ Stews,"[""A2 (Saloona/ Stews)"", ""A3 (Saloona/ Stews)"", ""A4 (Saloona/ Stews)"", ""A5 (Saloona/ Stews)"", ""A6 (Saloona/ Stews)"", ""A7 (Saloona/ Stews)"", ""A8 (Saloona/ Stews)"", ""A9 (Saloona/ Stews)"", ""A10 (Saloona/ Stews)"", ""A11 (Saloona/ Stews)"", ""A12 (Saloona/ Stews)"", ""A13 (Saloona/ Stews)"", ""A14 (Saloona/ Stews)"", ""A15 (Saloona/ Stews)"", ""A16 (Saloona/ Stews)"", """"]",9,,0.0,,0.0
9.7,"Stuffed vegetable dishes (kossa, warak, 3inad, malfoof)","[""Zucchini/ Eggplants, cooked, 1 medium stuffed"", ""A1 (stuffed vegetables)"", ""A2 (stuffed vegetables)"", ""A3 (stuffed vegetables)"", ""A4 (stuffed vegetables)"", ""A5 (stuffed vegetables)"", ""A6 (stuffed vegetables)"", ""A7 (stuffed vegetables)"", ""A8 (stuffed vegetables)"", ""A9 (stuffed vegetables)"", ""A10 (stuffed vegetables)"", ""A11 (stuffed vegetables)"", ""A12 (stuffed vegetables)"", ""A13 (stuffed vegetables)"", ""A14 (stuffed vegetables)"", ""A15 (stuffed vegetables)"", """"]",9,,0.0,,0.0
10.1,Khanfaroosh,"[""1 Piece (khanfaroosh)"", """"]",10,,0.0,,0.0
10.2,Luqaimat,"["" 1 Piece (Luqaimat)"", """"]",10,,0.0,,0.0
